Event ID,Team,Maps,K-D Diff,K/D,Rating2.0,Rating1.0
7148,MOUZ,6,43,1.11,1.15,
7148,Spirit,8,59,1.1,1.13,
7148,Cloud9,8,39,1.08,1.12,
7148,G2,14,107,1.11,1.11,
7148,Eternal Fire,8,49,1.09,1.11,
7148,Vitality,11,18,1.02,1.09,
7148,FaZe,17,26,1.02,1.07,
7148,Virtus.pro,9,-3,1.0,1.07,
7148,Natus Vincere,18,-37,0.97,1.02,
7148,paiN,9,-48,0.94,1.01,
7148,TheMongolz,5,-43,0.91,1.0,
7148,Complexity,9,-69,0.9,0.99,
7148,ECSTATIC,8,-71,0.88,0.97,
7148,HEROIC,5,-44,0.89,0.97,
7148,Imperial,6,-55,0.86,0.94,
7148,FURIA,5,-68,0.82,0.93,
6793,Vitality,10,177,1.21,1.18,
6793,Liquid,9,61,1.08,1.1,
6793,HEROIC,11,47,1.05,1.08,
6793,GamerLegion,12,45,1.05,1.08,
6793,Monte,8,23,1.03,1.07,
6793,G2,7,11,1.02,1.06,
6793,Ninjas in Pyjamas,7,7,1.01,1.04,
6793,Into the Breach,10,-3,1.0,1.04,
6793,FaZe,13,-9,0.99,1.04,
6793,Bad News Eagles,6,-26,0.95,1.01,
6793,Apeks,11,-43,0.96,1.01,
6793,fnatic,9,-39,0.95,0.99,
6793,Natus Vincere,8,-58,0.92,0.98,
6793,ENCE,5,-70,0.85,0.92,
6793,9INE,4,-97,0.75,0.82,
6793,FURIA,4,-94,0.72,0.79,
6586,Outsiders,12,189,1.21,1.15,
6586,FURIA,10,108,1.14,1.12,
6586,Cloud9,7,42,1.07,1.1,
6586,Spirit,10,74,1.09,1.09,
6586,Natus Vincere,10,80,1.09,1.09,
6586,fnatic,7,-12,0.98,1.03,
6586,HEROIC,14,-12,0.99,1.03,
6586,FaZe,5,-3,0.99,1.02,
6586,ENCE,8,-23,0.97,1.0,
6586,Vitality,5,-22,0.96,1.0,
6586,MOUZ,14,-77,0.93,0.98,
6586,Liquid,9,-40,0.95,0.98,
6586,Ninjas in Pyjamas,4,-37,0.9,0.96,
6586,BIG,8,-83,0.88,0.95,
6586,Sprout,6,-71,0.87,0.93,
6586,Bad News Eagles,7,-176,0.76,0.84,
6372,Natus Vincere,12,130,1.13,1.12,
6372,FaZe,13,141,1.12,1.11,
6372,Spirit,9,63,1.08,1.07,
6372,ENCE,10,31,1.04,1.06,
6372,HEROIC,12,8,1.01,1.04,
6372,Ninjas in Pyjamas,10,7,1.01,1.03,
6372,G2,9,8,1.01,1.03,
6372,Vitality,10,-36,0.96,1.01,
6372,BIG,6,-29,0.95,1.01,
6372,Cloud9,6,-14,0.97,1.0,
6372,Outsiders,6,-22,0.95,0.99,
6372,Imperial,9,-41,0.95,0.99,
6372,Copenhagen Flames,12,-49,0.95,0.99,
6372,FURIA,10,-72,0.92,0.96,
6372,Bad News Eagles,4,-85,0.79,0.87,
6372,Liquid,4,-92,0.76,0.85,
4866,Natus Vincere,10,245,1.34,1.23,
4866,G2,11,104,1.11,1.1,
4866,Copenhagen Flames,9,40,1.05,1.07,
4866,Gambit,9,37,1.05,1.06,
4866,HEROIC,12,43,1.04,1.06,
4866,MOUZ,7,15,1.03,1.04,
4866,FURIA,8,4,1.01,1.03,
4866,Vitality,13,-13,0.99,1.03,
4866,FaZe,8,8,1.01,1.03,
4866,Virtus.pro,12,-37,0.97,1.01,
4866,Liquid,5,-42,0.91,0.98,
4866,Entropiq,10,-73,0.92,0.96,
4866,Ninjas in Pyjamas,11,-100,0.9,0.94,
4866,Astralis,6,-98,0.82,0.91,
4866,Evil Geniuses,5,-90,0.8,0.9,
4866,ENCE,4,-107,0.71,0.79,
4443,Natus Vincere,10,110,1.13,1.13,
4443,Astralis,13,145,1.12,1.12,
4443,ENCE,6,50,1.11,1.11,
4443,NRG,8,58,1.07,1.09,
4443,North,6,34,1.07,1.08,
4443,Renegades,14,78,1.06,1.07,
4443,Liquid,9,-7,0.99,1.04,
4443,Vitality,9,1,1.0,1.04,
4443,AVANGAR,13,15,1.01,1.04,
4443,FaZe,6,-16,0.97,1.0,
4443,CR4ZY,9,-50,0.94,0.99,
4443,G2,9,-41,0.95,0.99,
4443,MOUZ,7,-66,0.91,0.97,
4443,MIBR,5,-118,0.73,0.81,
4443,Ninjas in Pyjamas,4,-99,0.73,0.77,
4443,DreamEaters,4,-117,0.68,0.75,
3883,Astralis,11,260,1.35,1.24,
3883,Natus Vincere,11,132,1.14,1.12,
3883,MIBR,9,47,1.06,1.08,
3883,Liquid,6,18,1.03,1.06,
3883,Cloud9,7,11,1.02,1.05,
3883,FaZe,10,32,1.04,1.03,
3883,ENCE,16,-51,0.97,1.02,
3883,BIG,5,-24,0.95,1.01,
3883,Ninjas in Pyjamas,10,-20,0.98,1.01,
3883,Complexity,7,-19,0.97,1.0,
3883,NRG,4,-34,0.93,0.99,
3883,Vitality,9,-62,0.93,0.99,
3883,Renegades,10,-60,0.93,0.98,
3883,AVANGAR,7,-57,0.91,0.95,
3883,G2,5,-80,0.85,0.92,
3883,HellRaisers,5,-112,0.75,0.85,
3564,Astralis,10,181,1.25,1.21,
3564,Natus Vincere,10,159,1.23,1.18,
3564,Liquid,8,55,1.08,1.1,
3564,FaZe,8,42,1.06,1.09,
3564,MIBR,11,48,1.06,1.09,
3564,BIG,6,5,1.01,1.05,
3564,Complexity,5,10,1.03,1.04,
3564,HellRaisers,10,-4,1.0,1.03,
3564,Cloud9,4,-36,0.92,1.0,
3564,Ninjas in Pyjamas,7,-54,0.92,0.96,
3564,G2,6,-72,0.9,0.95,
3564,fnatic,7,-99,0.85,0.95,
3564,Vega Squadron,4,-42,0.88,0.91,
3564,Winstrike,3,-73,0.77,0.9,
3564,MOUZ,3,-43,0.84,0.89,
3564,TYLOO,4,-90,0.76,0.86,
3247,Cloud9,13,188,1.18,1.17,
3247,Natus Vincere,8,86,1.15,1.15,
3247,FaZe,10,121,1.14,1.14,
3247,fnatic,8,56,1.08,1.11,
3247,G2,5,33,1.09,1.1,
3247,MOUZ,7,50,1.09,1.09,
3247,Space Soldiers,5,-9,0.98,1.03,
3247,SK,10,-17,0.98,1.02,
3247,Liquid,4,-10,0.97,0.99,
3247,Gambit,5,-30,0.93,0.98,
3247,Quantum Bellator Fire,6,-62,0.88,0.95,
3247,North,3,-60,0.81,0.91,
3247,Astralis,4,-52,0.85,0.9,
3247,BIG,4,-93,0.73,0.83,
3247,Vega Squadron,5,-116,0.73,0.83,
3247,Virtus.pro,3,-100,0.62,0.7,
2720,Gambit,11,105,1.12,1.11,
2720,Immortals,13,84,1.08,1.1,
2720,Astralis,9,36,1.05,1.1,
2720,SK,6,35,1.07,1.09,
2720,BIG,6,36,1.07,1.08,
2720,Virtus.pro,9,49,1.07,1.08,
2720,Natus Vincere,4,19,1.05,1.06,
2720,PENTA,4,-14,0.96,1.03,
2720,Cloud9,5,-9,0.98,1.02,
2720,North,6,-22,0.96,1.02,
2720,MOUZ,4,-9,0.98,1.01,
2720,fnatic,7,-50,0.93,0.99,
2720,FlipSid3,5,-56,0.88,0.97,
2720,G2,5,-79,0.84,0.91,
2720,FaZe,3,-57,0.81,0.89,
2720,Vega Squadron,3,-84,0.7,0.74,
2471,Natus Vincere,6,79,1.18,1.15,
2471,Astralis,13,140,1.12,1.14,
2471,SK,9,63,1.08,1.11,
2471,Gambit,7,18,1.03,1.08,
2471,Virtus.pro,11,59,1.06,1.08,
2471,Envy,5,-7,0.99,1.05,
2471,FaZe,8,-7,0.99,1.04,
2471,GODSENT,5,-11,0.98,1.03,
2471,Liquid,5,-28,0.95,1.02,
2471,North,8,-38,0.95,1.0,
2471,fnatic,9,-47,0.94,0.99,
2471,G2,4,-29,0.92,0.98,
2471,FlipSid3,3,-42,0.87,0.98,
2471,OpTic,4,-49,0.88,0.96,
2471,MOUZ,4,-63,0.8,0.89,
2471,HellRaisers,3,-60,0.8,0.87,
2062,SK,9,208,1.29,1.23,
2062,fnatic,8,96,1.15,1.14,
2062,Natus Vincere,5,38,1.09,1.1,
2062,Astralis,7,15,1.02,1.07,
2062,Liquid,11,26,1.03,1.07,
2062,FlipSid3,7,-6,0.99,1.03,
2062,Dignitas,5,-12,0.97,1.03,
2062,Virtus.pro,7,-21,0.97,1.02,
2062,Ninjas in Pyjamas,5,-21,0.95,1.0,
2062,G2,2,-20,0.9,0.98,
2062,MOUZ,4,-50,0.87,0.94,
2062,Gambit,4,-50,0.85,0.92,
2062,Envy,2,-33,0.82,0.88,
2062,FaZe,4,-80,0.78,0.86,
2062,CLG,2,-48,0.73,0.78,
2062,OpTic,2,-60,0.68,0.77,
2027,Luminosity,9,166,1.2,1.18,
2027,Natus Vincere,8,70,1.11,1.12,
2027,Astralis,6,53,1.11,1.1,
2027,FlipSid3,2,15,1.05,1.1,
2027,Liquid,6,19,1.03,1.09,
2027,fnatic,6,33,1.06,1.08,
2027,Virtus.pro,8,12,1.02,1.07,
2027,MOUZ,5,-34,0.94,1.02,
2027,CLG,7,-16,0.97,1.0,
2027,Gambit,5,-34,0.93,0.99,
2027,FaZe,4,-37,0.89,0.97,
2027,Ninjas in Pyjamas,7,-74,0.89,0.97,
2027,Envy,2,-29,0.85,0.97,
2027,G2,5,-29,0.93,0.97,
2027,Cloud9,2,-67,0.63,0.72,
2027,Splyce,2,-74,0.56,0.61,
1617,Envy,10,181,1.23,,1.14
1617,Natus Vincere,11,119,1.13,,1.07
1617,TSM,4,20,1.06,,1.04
1617,G2,10,25,1.03,,1.04
1617,Virtus.pro,4,22,1.05,,1.02
1617,Ninjas in Pyjamas,8,-5,0.99,,1.0
1617,fnatic,7,-14,0.98,,0.98
1617,Luminosity,4,-13,0.97,,0.97
1617,MOUZ,5,-44,0.91,,0.92
1617,Cloud9,4,-45,0.88,,0.91
1617,Titan,4,-59,0.84,,0.9
1617,Vexed,2,-19,0.9,,0.9
1617,CLG,5,-56,0.88,,0.89
1617,Liquid,2,-38,0.83,,0.86
1617,FlipSid3,2,-41,0.78,,0.81
1617,Dignitas,2,-44,0.78,,0.81
1666,fnatic,9,188,1.29,,1.15
1666,TSM,7,109,1.21,,1.11
1666,Virtus.pro,7,79,1.15,,1.07
1666,Envy,9,37,1.05,,1.0
1666,Ninjas in Pyjamas,5,-12,0.97,,0.98
1666,Luminosity,5,-13,0.97,,0.98
1666,CLG,3,-21,0.93,,0.94
1666,Natus Vincere,5,-43,0.91,,0.93
1666,MOUZ,2,-24,0.88,,0.91
1666,FlipSid3,3,-37,0.89,,0.91
1666,Kinguin,5,-51,0.89,,0.89
1666,Renegades,3,-42,0.84,,0.88
1666,Titan,2,-37,0.84,,0.87
1666,Cloud9,3,-44,0.84,,0.85
1666,Immunity,2,-45,0.76,,0.83
1666,eBettle,2,-56,0.7,,0.77
1611,fnatic,9,123,1.17,,1.1
1611,Virtus.pro,7,105,1.18,,1.09
1611,Ninjas in Pyjamas,10,79,1.09,,1.05
1611,Envy,7,48,1.08,,1.04
1611,TSM,6,35,1.07,,1.04
1611,Natus Vincere,6,18,1.04,,1.02
1611,LGB,3,-12,0.95,,0.96
1611,PENTA,5,-28,0.93,,0.93
1611,Keyd,6,-57,0.89,,0.91
1611,Cloud9,3,-32,0.89,,0.9
1611,HellRaisers,2,-30,0.86,,0.88
1611,CLG,3,-38,0.86,,0.88
1611,Vox Eminor,3,-48,0.77,,0.81
1611,Titan,2,-47,0.76,,0.78
1611,3DMAX,2,-51,0.73,,0.75
1611,FlipSid3,2,-84,0.5,,0.55
1553,Virtus.pro,7,148,1.29,,1.17
1553,fnatic,5,72,1.2,,1.14
1553,Ninjas in Pyjamas,11,110,1.12,,1.07
1553,LDLC,9,85,1.12,,1.04
1553,Natus Vincere,7,39,1.07,,1.03
1553,Dignitas,4,26,1.08,,1.03
1553,iBUYPOWER,3,-6,0.98,,0.99
1553,Cloud9,3,-12,0.94,,0.94
1553,HellRaisers,4,-33,0.9,,0.91
1553,ESC,3,-36,0.88,,0.91
1553,FlipSid3,3,-49,0.85,,0.87
1553,PENTA,5,-84,0.82,,0.85
1553,CPH Wolves,2,-55,0.71,,0.75
1553,Planetkey,2,-62,0.68,,0.74
1553,myXMG,2,-60,0.68,,0.71
1553,Bravado,2,-98,0.41,,0.42
1444,fnatic,10,109,1.12,,1.08
1444,Epsilon,4,27,1.09,,1.08
1444,Virtus.pro,5,59,1.14,,1.07
1444,LDLC,7,83,1.14,,1.07
1444,Dignitas,7,74,1.13,,1.07
1444,Cloud9,5,18,1.03,,1.0
1444,Ninjas in Pyjamas,12,9,1.01,,1.0
1444,Natus Vincere,6,7,1.01,,1.0
1444,CPH Wolves,3,1,1.0,,0.97
1444,Titan,3,-10,0.96,,0.96
1444,HellRaisers,3,-22,0.9,,0.91
1444,iBUYPOWER,3,-51,0.79,,0.82
1444,Vox Eminor,2,-66,0.63,,0.69
1444,dAT,2,-71,0.62,,0.67
1444,Wolves,2,-82,0.56,,0.62
1444,London Conspiracy,2,-96,0.47,,0.5
1333,Virtus.pro,9,206,1.29,,1.18
1333,Ninjas in Pyjamas,9,129,1.2,,1.12
1333,Dignitas,6,35,1.07,,1.07
1333,fnatic,6,12,1.02,,1.01
1333,LGB,8,-8,0.99,,0.99
1333,Titan,3,5,1.02,,0.98
1333,HellRaisers,5,-19,0.96,,0.97
1333,Natus Vincere,2,-7,0.96,,0.95
1333,3DMAX,3,-23,0.91,,0.94
1333,Reason,3,-36,0.87,,0.92
1333,Complexity,6,-58,0.9,,0.89
1333,LDLC,5,-81,0.83,,0.89
1333,iBUYPOWER,2,-27,0.86,,0.88
1333,Clan-Mystik,3,-37,0.87,,0.87
1333,Vox Eminor,2,-41,0.8,,0.85
1333,MOUZ,2,-64,0.66,,0.71
1270,fnatic,10,134,1.18,,1.09
1270,Ninjas in Pyjamas,11,108,1.13,,1.06
1270,CPH Wolves,5,36,1.09,,1.05
1270,LGB,6,36,1.07,,1.03
1270,Complexity,7,25,1.04,,1.01
1270,VeryGames,9,15,1.02,,1.0
1270,Recursive,6,-33,0.94,,0.97
1270,Astana Dragons,6,-20,0.96,,0.97
1270,Reason,3,-5,0.98,,0.97
1270,UniversalSoldiers,3,-5,0.98,,0.97
1270,n!faculty,3,-24,0.9,,0.89
1270,iBUYPOWER,2,-49,0.74,,0.8
1270,Clan-Mystik,3,-67,0.74,,0.79
1270,Natus Vincere,2,-55,0.74,,0.77
1270,Xapso,2,-49,0.7,,0.77
1270,SK,2,-61,0.67,,0.72
